iter,current_fitness,new_fitness
0,1655.93,1655.93
1,1655.93,1655.93
2,1655.93,1655.93
3,1655.93,1298.4300000000003
4,1298.4300000000003,1298.43
5,1298.43,1298.43
6,1298.43,959.6299999999999
7,959.6299999999999,959.63
8,959.6299999999999,959.63
9,959.6299999999999,578.04
10,578.04,578.04
11,578.04,578.04
12,578.04,578.04
13,578.04,578.04
14,578.04,713.04
15,578.04,443.0399999999999
16,443.0399999999999,443.03999999999996
17,443.0399999999999,443.03999999999996
18,443.0399999999999,578.04
19,443.0399999999999,578.04
20,443.0399999999999,443.03999999999996
21,443.0399999999999,443.0399999999999
22,443.0399999999999,443.03999999999996
23,443.0399999999999,443.0399999999999
24,443.0399999999999,578.04
25,443.0399999999999,578.04
26,443.0399999999999,578.04
27,443.0399999999999,578.04
28,443.0399999999999,578.04
29,443.0399999999999,443.03999999999996
30,443.0399999999999,443.04
31,443.0399999999999,443.03999999999996
32,443.0399999999999,713.04
33,443.0399999999999,443.0399999999999
34,443.0399999999999,443.03999999999996
35,443.0399999999999,443.04
36,443.0399999999999,443.0399999999999
37,443.0399999999999,578.04
38,443.0399999999999,443.03999999999996
39,443.0399999999999,578.04
40,443.0399999999999,443.03999999999996
41,443.0399999999999,443.03999999999996
42,443.0399999999999,578.04
43,443.0399999999999,578.04
44,443.0399999999999,578.04
45,443.0399999999999,578.04
46,443.0399999999999,443.03999999999996
47,443.0399999999999,578.04
48,443.0399999999999,443.0399999999999
49,443.0399999999999,443.03999999999996
50,443.0399999999999,443.0399999999999
51,443.0399999999999,578.04
52,443.0399999999999,443.03999999999996
53,443.0399999999999,578.04
54,443.0399999999999,578.04
55,443.0399999999999,578.04
56,443.0399999999999,443.03999999999996
57,443.0399999999999,443.03999999999996
58,443.0399999999999,578.04
59,443.0399999999999,443.0399999999999
60,443.0399999999999,578.04
61,443.0399999999999,443.0399999999999
62,443.0399999999999,578.04
63,443.0399999999999,443.0399999999999
64,443.0399999999999,578.04
65,443.0399999999999,443.03999999999996
66,443.0399999999999,443.03999999999996
67,443.0399999999999,443.03999999999996
68,443.0399999999999,443.03999999999996
69,443.0399999999999,443.03999999999996
70,443.0399999999999,443.03999999999996
71,443.0399999999999,578.04
72,443.0399999999999,578.04
73,443.0399999999999,443.03999999999996
74,443.0399999999999,578.04
75,443.0399999999999,578.04
76,443.0399999999999,578.04
77,443.0399999999999,578.04
78,443.0399999999999,443.03999999999996
79,443.0399999999999,578.04
80,443.0399999999999,578.04
81,443.0399999999999,443.0399999999999
82,443.0399999999999,443.03999999999996
83,443.0399999999999,443.03999999999996
84,443.0399999999999,443.03999999999996
85,443.0399999999999,578.04
86,443.0399999999999,578.04
87,443.0399999999999,443.03999999999996
88,443.0399999999999,578.04
89,443.0399999999999,578.04
90,443.0399999999999,578.04
91,443.0399999999999,578.04
92,443.0399999999999,713.0399999999997
93,443.0399999999999,308.03999999999996
94,308.03999999999996,443.03999999999996
95,308.03999999999996,443.04
96,308.03999999999996,443.0399999999999
97,308.03999999999996,443.03999999999996
98,308.03999999999996,443.03999999999996
99,308.03999999999996,443.03999999999996
100,308.03999999999996,443.03999999999996
101,308.03999999999996,443.0399999999999
102,308.03999999999996,578.04
103,308.03999999999996,443.03999999999996
104,308.03999999999996,443.03999999999996
105,308.03999999999996,443.0399999999999
106,308.03999999999996,443.03999999999996
107,308.03999999999996,443.03999999999996
108,308.03999999999996,578.0399999999998
109,308.03999999999996,443.0399999999999
110,308.03999999999996,578.04
111,308.03999999999996,578.04
112,308.03999999999996,443.03999999999996
113,308.03999999999996,308.03999999999996
114,308.03999999999996,578.04
115,308.03999999999996,443.03999999999996
116,308.03999999999996,308.03999999999996
117,308.03999999999996,443.04
118,308.03999999999996,308.03999999999996
119,308.03999999999996,443.03999999999996
120,308.03999999999996,308.03999999999996
121,308.03999999999996,443.03999999999996
122,308.03999999999996,578.04
123,308.03999999999996,443.0399999999999
124,308.03999999999996,443.03999999999996
125,308.03999999999996,308.03999999999996
126,308.03999999999996,443.0399999999999
127,308.03999999999996,443.03999999999996
128,308.03999999999996,578.04
129,308.03999999999996,443.03999999999996
130,308.03999999999996,443.03999999999996
131,308.03999999999996,578.04
132,308.03999999999996,443.0399999999999
133,308.03999999999996,443.03999999999996
134,308.03999999999996,443.03999999999996
135,308.03999999999996,443.03999999999996
136,308.03999999999996,578.04
137,308.03999999999996,443.03999999999996
138,308.03999999999996,578.04
139,308.03999999999996,443.03999999999996
140,308.03999999999996,443.03999999999996
141,308.03999999999996,443.03999999999996
142,308.03999999999996,308.03999999999996
143,308.03999999999996,443.03999999999996
144,308.03999999999996,443.03999999999996
145,308.03999999999996,443.03999999999996
146,308.03999999999996,443.0399999999999
147,308.03999999999996,443.03999999999996
148,308.03999999999996,443.03999999999996
149,308.03999999999996,443.03999999999996
150,308.03999999999996,443.03999999999996
151,308.03999999999996,578.04
152,308.03999999999996,443.03999999999996
153,308.03999999999996,443.03999999999996
154,308.03999999999996,443.03999999999996
155,308.03999999999996,443.0399999999999
156,308.03999999999996,578.04
157,308.03999999999996,578.0399999999998
158,308.03999999999996,443.03999999999996
159,308.03999999999996,443.03999999999996
160,308.03999999999996,308.03999999999996
161,308.03999999999996,443.03999999999996
162,308.03999999999996,578.04
163,308.03999999999996,578.04
164,308.03999999999996,443.03999999999996
165,308.03999999999996,443.03999999999996
166,308.03999999999996,443.03999999999996
167,308.03999999999996,443.03999999999996
168,308.03999999999996,308.03999999999996
169,308.03999999999996,443.03999999999996
170,308.03999999999996,443.03999999999996
171,308.03999999999996,308.03999999999996
172,308.03999999999996,578.04
173,308.03999999999996,443.03999999999996
174,308.03999999999996,578.04
175,308.03999999999996,443.03999999999996
176,308.03999999999996,443.03999999999996
177,308.03999999999996,308.03999999999996
178,308.03999999999996,443.03999999999996
179,308.03999999999996,443.03999999999996
180,308.03999999999996,443.03999999999996
181,308.03999999999996,443.0399999999999
182,308.03999999999996,443.03999999999996
183,308.03999999999996,443.03999999999996
184,308.03999999999996,713.0399999999998
185,308.03999999999996,443.03999999999996
186,308.03999999999996,443.03999999999996
187,308.03999999999996,443.03999999999996
188,308.03999999999996,578.04
189,308.03999999999996,578.04
190,308.03999999999996,443.03999999999996
191,308.03999999999996,443.03999999999996
192,308.03999999999996,443.03999999999996
193,308.03999999999996,443.0399999999999
194,308.03999999999996,443.03999999999996
195,308.03999999999996,443.0399999999999
196,308.03999999999996,443.03999999999996
197,308.03999999999996,578.04
198,308.03999999999996,443.03999999999996
199,308.03999999999996,578.04
200,308.03999999999996,443.03999999999996
201,308.03999999999996,443.03999999999996
202,308.03999999999996,443.03999999999996
203,308.03999999999996,308.03999999999996
204,308.03999999999996,443.0399999999999
205,308.03999999999996,443.03999999999996
206,308.03999999999996,443.03999999999996
207,308.03999999999996,578.04
208,308.03999999999996,443.03999999999996
209,308.03999999999996,443.03999999999996
210,308.03999999999996,578.0399999999998
211,308.03999999999996,308.03999999999996
212,308.03999999999996,443.0399999999999
213,308.03999999999996,308.03999999999996
214,308.03999999999996,578.04
215,308.03999999999996,443.03999999999996
216,308.03999999999996,308.03999999999996
217,308.03999999999996,443.0399999999999
218,308.03999999999996,443.03999999999996
219,308.03999999999996,443.03999999999996
220,308.03999999999996,443.03999999999996
221,308.03999999999996,578.0399999999998
222,308.03999999999996,443.03999999999996
223,308.03999999999996,443.0399999999999
224,308.03999999999996,443.0399999999999
225,308.03999999999996,578.0399999999998
226,308.03999999999996,308.03999999999996
227,308.03999999999996,443.03999999999996
228,308.03999999999996,443.03999999999996
229,308.03999999999996,578.0399999999998
230,308.03999999999996,443.03999999999996
231,308.03999999999996,443.0399999999999
232,308.03999999999996,443.0399999999999
233,308.03999999999996,308.03999999999996
234,308.03999999999996,443.03999999999996
235,308.03999999999996,443.03999999999996
236,308.03999999999996,443.03999999999996
237,308.03999999999996,443.03999999999996
238,308.03999999999996,443.03999999999996
239,308.03999999999996,443.03999999999996
240,308.03999999999996,443.04
241,308.03999999999996,443.03999999999996
242,308.03999999999996,308.03999999999996
243,308.03999999999996,443.03999999999996
244,308.03999999999996,443.0399999999999
245,308.03999999999996,578.04
246,308.03999999999996,443.03999999999996
247,308.03999999999996,443.03999999999996
248,308.03999999999996,443.03999999999996
249,308.03999999999996,578.04
250,308.03999999999996,443.03999999999996
251,308.03999999999996,308.03999999999996
252,308.03999999999996,443.0399999999999
253,308.03999999999996,443.03999999999996
254,308.03999999999996,443.03999999999996
255,308.03999999999996,443.03999999999996
256,308.03999999999996,443.0399999999999
257,308.03999999999996,308.03999999999996
258,308.03999999999996,578.04
259,308.03999999999996,443.03999999999996
260,308.03999999999996,443.03999999999996
261,308.03999999999996,443.03999999999996
262,308.03999999999996,443.03999999999996
263,308.03999999999996,443.03999999999996
264,308.03999999999996,443.03999999999996
265,308.03999999999996,443.03999999999996
266,308.03999999999996,443.0399999999999
267,308.03999999999996,578.04
268,308.03999999999996,578.04
269,308.03999999999996,578.0399999999998
270,308.03999999999996,443.03999999999996
271,308.03999999999996,443.0399999999999
272,308.03999999999996,578.0399999999998
273,308.03999999999996,443.0399999999999
274,308.03999999999996,443.03999999999996
275,308.03999999999996,443.03999999999996
276,308.03999999999996,443.03999999999996
277,308.03999999999996,443.03999999999996
278,308.03999999999996,443.03999999999996
279,308.03999999999996,443.03999999999996
280,308.03999999999996,308.03999999999996
281,308.03999999999996,443.03999999999985
282,308.03999999999996,578.0399999999998
283,308.03999999999996,443.03999999999996
284,308.03999999999996,578.04
285,308.03999999999996,443.0399999999999
286,308.03999999999996,308.03999999999996
287,308.03999999999996,578.04
288,308.03999999999996,578.04
289,308.03999999999996,578.04
290,308.03999999999996,443.03999999999996
291,308.03999999999996,443.03999999999996
292,308.03999999999996,443.03999999999996
293,308.03999999999996,443.03999999999996
294,308.03999999999996,443.03999999999996
295,308.03999999999996,578.04
296,308.03999999999996,443.0399999999999
297,308.03999999999996,578.04
298,308.03999999999996,443.03999999999996
299,308.03999999999996,443.03999999999996
300,308.03999999999996,443.03999999999996
301,308.03999999999996,443.0399999999999
302,308.03999999999996,443.03999999999996
303,308.03999999999996,443.03999999999996
304,308.03999999999996,443.0399999999999
305,308.03999999999996,443.03999999999996
306,308.03999999999996,443.03999999999996
307,308.03999999999996,443.03999999999996
308,308.03999999999996,443.03999999999996
309,308.03999999999996,443.03999999999996
310,308.03999999999996,443.03999999999996
311,308.03999999999996,443.03999999999985
312,308.03999999999996,578.04
313,308.03999999999996,578.0399999999998
314,308.03999999999996,443.03999999999996
315,308.03999999999996,578.04
316,308.03999999999996,308.03999999999996
317,308.03999999999996,443.03999999999996
318,308.03999999999996,443.03999999999996
319,308.03999999999996,308.03999999999996
320,308.03999999999996,443.0399999999999
321,308.03999999999996,443.0399999999999
322,308.03999999999996,443.03999999999996
323,308.03999999999996,578.04
324,308.03999999999996,443.03999999999996
325,308.03999999999996,443.03999999999996
326,308.03999999999996,443.03999999999996
327,308.03999999999996,578.04
328,308.03999999999996,578.0399999999998
329,308.03999999999996,443.03999999999996
330,308.03999999999996,443.03999999999996
331,308.03999999999996,308.03999999999996
332,308.03999999999996,443.03999999999996
333,308.03999999999996,443.03999999999996
334,308.03999999999996,308.03999999999996
335,308.03999999999996,308.03999999999996
336,308.03999999999996,443.03999999999996
337,308.03999999999996,443.03999999999996
338,308.03999999999996,578.04
339,308.03999999999996,443.03999999999996
340,308.03999999999996,443.03999999999996
341,308.03999999999996,443.03999999999996
342,308.03999999999996,443.03999999999996
343,308.03999999999996,443.03999999999996
344,308.03999999999996,443.0399999999999
345,308.03999999999996,578.04
346,308.03999999999996,443.04
347,308.03999999999996,443.03999999999996
348,308.03999999999996,578.04
349,308.03999999999996,308.03999999999996
350,308.03999999999996,308.03999999999996
351,308.03999999999996,578.04
352,308.03999999999996,308.03999999999996
353,308.03999999999996,443.03999999999996
354,308.03999999999996,443.03999999999996
355,308.03999999999996,578.04
356,308.03999999999996,578.04
357,308.03999999999996,308.03999999999996
358,308.03999999999996,443.03999999999996
359,308.03999999999996,443.03999999999996
360,308.03999999999996,443.03999999999996
361,308.03999999999996,443.0399999999999
362,308.03999999999996,443.03999999999996
363,308.03999999999996,443.0399999999999
364,308.03999999999996,443.03999999999996
365,308.03999999999996,443.03999999999996
366,308.03999999999996,308.03999999999996
367,308.03999999999996,443.03999999999996
368,308.03999999999996,578.04
369,308.03999999999996,443.03999999999996
370,308.03999999999996,443.03999999999996
371,308.03999999999996,443.03999999999996
372,308.03999999999996,578.04
373,308.03999999999996,443.03999999999996
374,308.03999999999996,443.0399999999999
375,308.03999999999996,443.03999999999996
376,308.03999999999996,578.04
377,308.03999999999996,443.03999999999996
378,308.03999999999996,308.03999999999996
379,308.03999999999996,443.03999999999996
380,308.03999999999996,578.04
381,308.03999999999996,443.03999999999996
382,308.03999999999996,443.03999999999996
383,308.03999999999996,308.03999999999996
384,308.03999999999996,443.0399999999999
385,308.03999999999996,443.03999999999996
386,308.03999999999996,443.03999999999996
387,308.03999999999996,443.03999999999996
388,308.03999999999996,443.03999999999996
389,308.03999999999996,443.03999999999996
390,308.03999999999996,443.03999999999996
391,308.03999999999996,443.03999999999996
392,308.03999999999996,443.03999999999996
393,308.03999999999996,443.0399999999999
394,308.03999999999996,308.03999999999996
395,308.03999999999996,443.03999999999996
396,308.03999999999996,443.03999999999996
397,308.03999999999996,443.03999999999996
398,308.03999999999996,443.03999999999996
399,308.03999999999996,578.04
400,308.03999999999996,443.03999999999996
401,308.03999999999996,578.04
402,308.03999999999996,578.04
403,308.03999999999996,443.03999999999996
404,308.03999999999996,443.03999999999996
405,308.03999999999996,443.03999999999996
406,308.03999999999996,443.03999999999996
407,308.03999999999996,443.0399999999999
408,308.03999999999996,443.03999999999996
409,308.03999999999996,443.03999999999996
410,308.03999999999996,443.0399999999999
411,308.03999999999996,443.03999999999996
412,308.03999999999996,443.03999999999996
413,308.03999999999996,443.0399999999999
414,308.03999999999996,443.03999999999996
415,308.03999999999996,578.04
416,308.03999999999996,713.04
417,308.03999999999996,578.04
418,308.03999999999996,443.03999999999996
419,308.03999999999996,443.03999999999996
420,308.03999999999996,443.03999999999996
421,308.03999999999996,443.03999999999996
422,308.03999999999996,443.03999999999996
423,308.03999999999996,443.0399999999999
424,308.03999999999996,443.04
425,308.03999999999996,578.04
426,308.03999999999996,443.0399999999999
427,308.03999999999996,443.03999999999996
428,308.03999999999996,443.03999999999996
429,308.03999999999996,443.03999999999996
430,308.03999999999996,308.03999999999996
431,308.03999999999996,308.03999999999996
432,308.03999999999996,443.03999999999996
433,308.03999999999996,578.04
434,308.03999999999996,443.03999999999996
435,308.03999999999996,443.03999999999996
436,308.03999999999996,443.03999999999996
437,308.03999999999996,443.03999999999996
438,308.03999999999996,578.04
439,308.03999999999996,443.03999999999996
440,308.03999999999996,443.03999999999996
441,308.03999999999996,443.03999999999996
442,308.03999999999996,578.04
443,308.03999999999996,443.0399999999999
444,308.03999999999996,443.03999999999996
445,308.03999999999996,443.03999999999996
446,308.03999999999996,713.04
447,308.03999999999996,443.03999999999996
448,308.03999999999996,443.03999999999996
449,308.03999999999996,443.03999999999996
450,308.03999999999996,308.03999999999996
451,308.03999999999996,308.03999999999996
452,308.03999999999996,443.03999999999996
453,308.03999999999996,443.03999999999996
454,308.03999999999996,443.03999999999996
455,308.03999999999996,578.04
456,308.03999999999996,443.03999999999996
457,308.03999999999996,443.03999999999996
458,308.03999999999996,443.0399999999999
459,308.03999999999996,443.03999999999996
460,308.03999999999996,443.03999999999996
461,308.03999999999996,443.03999999999996
462,308.03999999999996,443.03999999999996
463,308.03999999999996,443.03999999999996
464,308.03999999999996,443.03999999999996
465,308.03999999999996,443.03999999999996
466,308.03999999999996,578.04
467,308.03999999999996,443.03999999999996
468,308.03999999999996,443.03999999999996
469,308.03999999999996,443.03999999999996
470,308.03999999999996,578.04
471,308.03999999999996,443.04
472,308.03999999999996,443.03999999999996
473,308.03999999999996,443.03999999999996
474,308.03999999999996,443.03999999999996
475,308.03999999999996,443.03999999999996
476,308.03999999999996,443.0399999999999
477,308.03999999999996,443.03999999999996
478,308.03999999999996,308.03999999999996
479,308.03999999999996,443.03999999999996
480,308.03999999999996,578.04
481,308.03999999999996,443.03999999999996
482,308.03999999999996,443.03999999999996
483,308.03999999999996,713.04
484,308.03999999999996,443.03999999999996
485,308.03999999999996,443.03999999999996
486,308.03999999999996,578.04
487,308.03999999999996,443.03999999999996
488,308.03999999999996,443.04
489,308.03999999999996,443.03999999999996
490,308.03999999999996,443.03999999999996
491,308.03999999999996,443.03999999999996
492,308.03999999999996,308.03999999999996
493,308.03999999999996,443.0399999999999
494,308.03999999999996,443.03999999999996
495,308.03999999999996,308.03999999999996
496,308.03999999999996,443.03999999999996
497,308.03999999999996,443.03999999999996
498,308.03999999999996,308.04
499,308.03999999999996,443.03999999999996
500,308.03999999999996,308.03999999999996
501,308.03999999999996,443.03999999999996
502,308.03999999999996,443.03999999999996
503,308.03999999999996,578.0399999999998
504,308.03999999999996,443.03999999999996
505,308.03999999999996,578.04
506,308.03999999999996,443.03999999999996
