iter,current_fitness,new_fitness
0,1392.04,1392.04
1,1392.04,1383.5700000000002
2,1383.5700000000002,1383.5700000000002
3,1383.5700000000002,1274.3400000000001
4,1274.3400000000001,713.04
5,713.04,578.0399999999998
6,578.0399999999998,578.04
7,578.0399999999998,713.0399999999997
8,578.0399999999998,713.04
9,578.0399999999998,578.04
10,578.0399999999998,713.0399999999997
11,578.0399999999998,578.0399999999998
12,578.0399999999998,578.0399999999998
13,578.0399999999998,713.0400000000002
14,578.0399999999998,713.04
